bhk,price,size,location
2,48,1005,TARUN NAGAR
3,72,967,KAHILIPARA
2,52.5,722,KAHILIPARA
2,52,700,KAHILIPARA
3,50.9,1084,LAL GANESH
3,80.9,1394,SILPUKHURI
3,70,1500,PANJABARI
2,40,968,GUWAHATI
2,45,950,KAHILIPARA
2,58,1106,ULUBARI
2,57.8,721,KAHILPARA
2,40,559,AZARA
3,53,1238,BAGHARBARI
3,40,645,AZARA
3,48.7,725,LOKHRA
3,40,805,JALUKBARI
2,34,800,AZARA
3,57.4,899,AHOM GAON
2,36,723,JYOTIKUCHI
2,46.5,778,JALUKBARI
3,56,885,BAGHARBARI
2,40,622,KHANAPARA
3,80,1200,GUWAHATI
2,38,750,KAHILIPARA
3,57.3,902,BAGHARBARI
2,50,750,BAGHARBARI
2,36.2,812,KHARGHULI HILLS
2,36.3,812,KHARGHULI HILLS
2,36.3,812,KHARGHULI HILLS
3,60,1105,LOKHRA ROAD
3,70.3,910,BELTOLA
3,45.3,1028,KHARGHULI HILLS
3,46.7,1036,KHARGHULI HILLS
3,45.4,1028,KHARGHULI HILLS
3,46.8,1036,KHARGHULI HILLS
3,46.9,1036,KHARGHULI HILLS
3,65,1250,SIX MILE
3,67.8,925,BELTOLA
2,50,900,BASISHTA
3,71.5,1428,PANJABARI
3,73.4,968,BELTOLA
3,55,937,SARABBHATI
2,34.1,849,DHARAPUR
3,99.5,918,BELTOLA
3,53,1000,BELTOLA
3,75,1250,SIX MILE
3,57,1000,HATIGAON
2,49.4,690,BELTOLA
2,46.3,962,DWARAKA NAGAR
2,51.4,998,KAHILPARA
3,60.3,1256,GANESHGURI
4,110,2345,KAHILIPARA
2,36.4,812,KHARGHULI HILLS
3,46.8,1036,KHARGHULI HILLS
3,45.4,1028,KHARGHULI HILLS
3,45.5,1028,KHARGHULI HILLS
2,45.4,655,JALUKBARI
3,77.4,1460,KHARGHULI HILLS
2,51.5,659,BELTOLA
3,55,1000,PATOR KUCHI
3,80,1382,VIP ROAD
2,47.8,1139,KAHILIPARA
3,81.5,1320,BHANGAGARH
3,50.9,862,KHANAPARA
3,72,1358,BAGHARBARI
3,52.1,1126,9TH MILE
3,61,1270,HATIGAON
3,75,1100,SIX MILE
3,80,1400,KAHILIPARA
3,85.8,1560,RUKMINI GAON
2,47,1100,VIP ROAD
3,75,1100,GUWAHATI
3,56.3,1040,PANJABARI
3,50,1100,PANJABARI
3,70,1495,HATIGAON
3,63,1481,SIX MILE
2,45.5,815,PANJABARI
3,60,1100,RUKMINI GAON
3,72.8,861,BELTOLA
3,66.4,882,BELTOLA
3,67.9,1000,BAMUNIMAIDAM
3,52.5,950,PANJABARI
3,82,1550,LACHIT NAGAR
3,81,1300,NARIKAL BARI
3,89.5,985,UZAN BAZAR
3,75.6,1344,KAHILIPARA
2,32.4,603,AZARA
2,43,614,BELTOLA
3,81.5,1320,BHANGAGARH
3,62.3,853,PANJABARI
3,50,1200,SILPUKHURI
2,50.3,927,PANJABARI
2,50,962,REHABARI
3,45,1000,SIX MILE
3,65,1300,GUWAHATI
3,64.9,1074,LOKHRA
4,70,1400,BAMUNIMAIDAM
3,70,1100,GANDHI BASTI
3,68,1534,KAHILIPARA
3,67.5,1080,BELTOLA
3,57,1050,BELTOLA
2,52,1150,RAJGARH ROAD
2,45.3,680,BARSAPARA
2,60.2,754,RUKMINI GAON
